,Genus,Species,Source_class,GCF_id,Variants,Total variants,Total strains,Variant %
0,Lacticaseibacillus,Lacticaseibacillus_paracasei,Alcoholic drink,2,2320,431036,172,0.54
1,Lacticaseibacillus,Lacticaseibacillus_paracasei,Animal,3,10442,431036,172,2.42
2,Lacticaseibacillus,Lacticaseibacillus_paracasei,Animal gut,1,7693,431036,172,1.78
3,Lacticaseibacillus,Lacticaseibacillus_paracasei,Apple dumpster,1,969,431036,172,0.22
4,Lacticaseibacillus,Lacticaseibacillus_paracasei,Bakery products,1,1502,431036,172,0.35
5,Lacticaseibacillus,Lacticaseibacillus_paracasei,Blood,2,1929,431036,172,0.45
6,Lacticaseibacillus,Lacticaseibacillus_paracasei,Cheese,30,33262,431036,172,7.72
7,Lacticaseibacillus,Lacticaseibacillus_paracasei,Commercial products,1,857,431036,172,0.2
8,Lacticaseibacillus,Lacticaseibacillus_paracasei,Congee,1,952,431036,172,0.22
9,Lacticaseibacillus,Lacticaseibacillus_paracasei,Dairy products,6,7123,431036,172,1.65
10,Lacticaseibacillus,Lacticaseibacillus_paracasei,Dietary supplements,8,7624,431036,172,1.77
11,Lacticaseibacillus,Lacticaseibacillus_paracasei,Feces,38,55749,431036,172,12.93
12,Lacticaseibacillus,Lacticaseibacillus_paracasei,Fermented food,15,15734,431036,172,3.65
13,Lacticaseibacillus,Lacticaseibacillus_paracasei,Fermented milk,9,9882,431036,172,2.29
14,Lacticaseibacillus,Lacticaseibacillus_paracasei,Fodder,2,2098,431036,172,0.49
15,Lacticaseibacillus,Lacticaseibacillus_paracasei,Fruits,1,1015,431036,172,0.24
16,Lacticaseibacillus,Lacticaseibacillus_paracasei,Human,28,41116,431036,172,9.54
17,Lacticaseibacillus,Lacticaseibacillus_paracasei,Human gut,14,24248,431036,172,5.63
18,Lacticaseibacillus,Lacticaseibacillus_paracasei,Industry,1,943,431036,172,0.22
19,Lacticaseibacillus,Lacticaseibacillus_paracasei,Lab culture,1,853,431036,172,0.2
20,Lacticaseibacillus,Lacticaseibacillus_paracasei,Meat & meat products,1,971,431036,172,0.23
21,Lacticaseibacillus,Lacticaseibacillus_paracasei,Milk,11,12861,431036,172,2.98
22,Lacticaseibacillus,Lacticaseibacillus_paracasei,Oral cavity,3,4204,431036,172,0.98
23,Lacticaseibacillus,Lacticaseibacillus_paracasei,Other food,3,3249,431036,172,0.75
24,Lacticaseibacillus,Lacticaseibacillus_paracasei,Plants,3,3044,431036,172,0.71
25,Lacticaseibacillus,Lacticaseibacillus_paracasei,Probiotics,2,2101,431036,172,0.49
26,Lacticaseibacillus,Lacticaseibacillus_paracasei,Starter culture,1,1038,431036,172,0.24
27,Lacticaseibacillus,Lacticaseibacillus_paracasei,Unknown,85,138985,431036,172,32.24
28,Lacticaseibacillus,Lacticaseibacillus_paracasei,Urine,3,6124,431036,172,1.42
29,Lacticaseibacillus,Lacticaseibacillus_paracasei,Vagina,16,30935,431036,172,7.18
30,Lacticaseibacillus,Lacticaseibacillus_paracasei,Yoghurt,1,1213,431036,172,0.28
31,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Animal organs,1,1462,338751,180,0.43
32,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Bakery products,1,1975,338751,180,0.58
33,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Blood,19,39599,338751,180,11.69
34,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Cheese,5,9480,338751,180,2.8
35,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Dairy products,7,11714,338751,180,3.46
36,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Dietary supplements,10,17659,338751,180,5.21
37,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Feces,31,62246,338751,180,18.38
38,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Fermented food,3,4414,338751,180,1.3
39,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Fermented milk,7,12168,338751,180,3.59
40,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Fodder,1,1267,338751,180,0.37
41,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Human,9,17691,338751,180,5.22
42,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Human gut,15,27941,338751,180,8.25
43,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Medical device,2,4729,338751,180,1.4
44,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Medical procedure,4,7154,338751,180,2.11
45,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Milk,3,5832,338751,180,1.72
46,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Oral cavity,3,6619,338751,180,1.95
47,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Plants,1,1324,338751,180,0.39
48,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Probiotics,7,15331,338751,180,4.53
49,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Starter culture,1,2221,338751,180,0.66
50,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Unknown,42,73367,338751,180,21.66
51,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Vagina,6,9980,338751,180,2.95
52,Lacticaseibacillus,Lacticaseibacillus_rhamnosus,Yoghurt,2,4578,338751,180,1.35
53,Lactiplantibacillus,Lactiplantibacillus_pentosus,Alcoholic drink,5,11283,924170,52,1.22
54,Lactiplantibacillus,Lactiplantibacillus_pentosus,Animal,6,19988,924170,52,2.16
55,Lactiplantibacillus,Lactiplantibacillus_pentosus,Animal gut,3,12324,924170,52,1.33
56,Lactiplantibacillus,Lactiplantibacillus_pentosus,Apple dumpster,1,969,924170,52,0.1
57,Lactiplantibacillus,Lactiplantibacillus_pentosus,Bakery products,2,2335,924170,52,0.25
58,Lactiplantibacillus,Lactiplantibacillus_pentosus,Biofilm,5,13534,924170,52,1.46
59,Lactiplantibacillus,Lactiplantibacillus_pentosus,Blood,3,5689,924170,52,0.62
60,Lactiplantibacillus,Lactiplantibacillus_pentosus,Cheese,43,51951,924170,52,5.62
61,Lactiplantibacillus,Lactiplantibacillus_pentosus,Commercial products,1,857,924170,52,0.09
62,Lactiplantibacillus,Lactiplantibacillus_pentosus,Congee,1,952,924170,52,0.1
63,Lactiplantibacillus,Lactiplantibacillus_pentosus,Dairy products,12,18575,924170,52,2.01
64,Lactiplantibacillus,Lactiplantibacillus_pentosus,Dietary supplements,8,7624,924170,52,0.82
65,Lactiplantibacillus,Lactiplantibacillus_pentosus,Environment,6,14824,924170,52,1.6
66,Lactiplantibacillus,Lactiplantibacillus_pentosus,Feces,50,83859,924170,52,9.07
67,Lactiplantibacillus,Lactiplantibacillus_pentosus,Fermented food,65,130718,924170,52,14.14
68,Lactiplantibacillus,Lactiplantibacillus_pentosus,Fermented milk,12,14916,924170,52,1.61
69,Lactiplantibacillus,Lactiplantibacillus_pentosus,Fish gut,1,838,924170,52,0.09
70,Lactiplantibacillus,Lactiplantibacillus_pentosus,Fodder,3,4512,924170,52,0.49
71,Lactiplantibacillus,Lactiplantibacillus_pentosus,Fruits,1,1015,924170,52,0.11
72,Lactiplantibacillus,Lactiplantibacillus_pentosus,Human,41,82300,924170,52,8.91
73,Lactiplantibacillus,Lactiplantibacillus_pentosus,Human gut,20,40568,924170,52,4.39
74,Lactiplantibacillus,Lactiplantibacillus_pentosus,Industry,1,943,924170,52,0.1
75,Lactiplantibacillus,Lactiplantibacillus_pentosus,Kitchen E,1,957,924170,52,0.1
76,Lactiplantibacillus,Lactiplantibacillus_pentosus,Lab culture,1,853,924170,52,0.09
77,Lactiplantibacillus,Lactiplantibacillus_pentosus,Meat & meat products,6,6505,924170,52,0.7
